origin,destination,type,price,duration,main_attraction
Indore,Amritsar,bus,1432,515,Golden Temple,Jallianwala Bagh
Chandigarh,Lucknow,train,2092,467,Bara Imambara,Chota Imambara
Delhi,Amritsar,bus,691,455,Golden Temple,Jallianwala Bagh
Indore,Dehradun,flight,9900,195,Robber's Cave,Forest Research Institute
Jaipur,Pune,car,1979,289,Shaniwar Wada,Aga Khan Palace
Pune,Delhi,flight,9500,87,Red Fort,Qutub Minar
Kolkata,Amritsar,car,1082,331,Golden Temple,Jallianwala Bagh
Surat,Lucknow,flight,5848,224,Bara Imambara,Chota Imambara
Dehradun,Delhi,flight,5728,200,Red Fort,Qutub Minar
Bangalore,Delhi,flight,3775,138,Red Fort,Qutub Minar
Chennai,Ahmedabad,flight,5921,134,Sabarmati Ashram,Adalaj Stepwell
Ahmedabad,Bangalore,flight,7824,157,Bangalore Palace,Lalbagh Botanical Garden
Amritsar,Jaipur,car,1879,235,Amber Fort,City Palace
Dehradun,Kolkata,car,3870,202,Victoria Memorial,Howrah Bridge
Surat,Lucknow,flight,8878,116,Bara Imambara,Chota Imambara
Kolkata,Hyderabad,flight,3640,205,Charminar,Golkonda Fort
Ahmedabad,Surat,flight,7119,195,Dumas Beach,Sarthana Nature Park
Surat,Kolkata,flight,4655,229,Victoria Memorial,Howrah Bridge
Chennai,Ahmedabad,flight,6371,209,Sabarmati Ashram,Adalaj Stepwell
Indore,Hyderabad,bus,1177,553,Charminar,Golkonda Fort
Hyderabad,Mumbai,flight,6586,189,Gateway of India,Marine Drive
Indore,Ahmedabad,flight,5260,78,Sabarmati Ashram,Adalaj Stepwell
Surat,Pune,flight,4953,192,Shaniwar Wada,Aga Khan Palace
Amritsar,Hyderabad,flight,6442,219,Charminar,Golkonda Fort
Amritsar,Pune,car,4901,459,Shaniwar Wada,Aga Khan Palace
Indore,Chandigarh,flight,3920,211,Rock Garden,Sukhna Lake
Surat,Jaipur,bus,1882,568,Amber Fort,City Palace
Surat,Lucknow,bus,1776,820,Bara Imambara,Chota Imambara
Kolkata,Delhi,bus,1310,401,Red Fort,Qutub Minar
Amritsar,Indore,flight,3039,71,Rajwada Palace,Lal Bagh Palace
Bangalore,Surat,bus,1524,564,Dumas Beach,Sarthana Nature Park
Amritsar,Bangalore,flight,8227,144,Bangalore Palace,Lalbagh Botanical Garden
Kolkata,Pune,train,2397,756,Shaniwar Wada,Aga Khan Palace
Jaipur,Surat,bus,1786,517,Dumas Beach,Sarthana Nature Park
Mumbai,Lucknow,flight,8987,118,Bara Imambara,Chota Imambara
Dehradun,Jaipur,train,2611,861,Amber Fort,City Palace
Jaipur,Mumbai,flight,4075,92,Gateway of India,Marine Drive
Bangalore,Chandigarh,flight,6132,79,Rock Garden,Sukhna Lake
Amritsar,Indore,flight,6871,71,Rajwada Palace,Lal Bagh Palace
Dehradun,Pune,car,2612,467,Shaniwar Wada,Aga Khan Palace
Indore,Chennai,flight,9532,226,Marina Beach,Kapaleeshwarar Temple
Delhi,Kolkata,bus,936,369,Victoria Memorial,Howrah Bridge
Chennai,Delhi,flight,5186,137,Red Fort,Qutub Minar
Indore,Kolkata,flight,8713,158,Victoria Memorial,Howrah Bridge
Ahmedabad,Lucknow,car,4025,193,Bara Imambara,Chota Imambara
Mumbai,Jaipur,flight,4844,209,Amber Fort,City Palace
Delhi,Bangalore,bus,1938,347,Bangalore Palace,Lalbagh Botanical Garden
Surat,Lucknow,flight,4121,235,Bara Imambara,Chota Imambara
Surat,Delhi,bus,1082,509,Red Fort,Qutub Minar
Kolkata,Ahmedabad,train,3540,600,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Lucknow,car,5750,184,Bara Imambara,Chota Imambara
Hyderabad,Kolkata,flight,4102,218,Victoria Memorial,Howrah Bridge
Pune,Lucknow,train,2891,872,Bara Imambara,Chota Imambara
Chennai,Surat,flight,4242,157,Dumas Beach,Sarthana Nature Park
Indore,Chennai,flight,9719,159,Marina Beach,Kapaleeshwarar Temple
Mumbai,Dehradun,bus,697,392,Robber's Cave,Forest Research Institute
Delhi,Surat,flight,4301,220,Dumas Beach,Sarthana Nature Park
Lucknow,Dehradun,car,5128,273,Robber's Cave,Forest Research Institute
Dehradun,Indore,flight,8722,64,Rajwada Palace,Lal Bagh Palace
Kolkata,Lucknow,train,1517,317,Bara Imambara,Chota Imambara
Dehradun,Delhi,bus,1698,805,Red Fort,Qutub Minar
Surat,Pune,flight,9187,120,Shaniwar Wada,Aga Khan Palace
Surat,Kolkata,bus,699,789,Victoria Memorial,Howrah Bridge
Surat,Chennai,flight,3517,177,Marina Beach,Kapaleeshwarar Temple
Lucknow,Hyderabad,flight,9116,141,Charminar,Golkonda Fort
Kolkata,Ahmedabad,car,1718,422,Sabarmati Ashram,Adalaj Stepwell
Chandigarh,Mumbai,bus,1873,849,Gateway of India,Marine Drive
Kolkata,Dehradun,car,5030,225,Robber's Cave,Forest Research Institute
Bangalore,Indore,flight,3313,174,Rajwada Palace,Lal Bagh Palace
Bangalore,Kolkata,flight,5205,62,Victoria Memorial,Howrah Bridge
Delhi,Hyderabad,bus,707,485,Charminar,Golkonda Fort
Kolkata,Lucknow,car,4728,424,Bara Imambara,Chota Imambara
Indore,Lucknow,flight,7850,78,Bara Imambara,Chota Imambara
Delhi,Bangalore,flight,9731,224,Bangalore Palace,Lalbagh Botanical Garden
Amritsar,Dehradun,train,1382,834,Robber's Cave,Forest Research Institute
Dehradun,Chennai,bus,1531,335,Marina Beach,Kapaleeshwarar Temple
Dehradun,Lucknow,car,4494,198,Bara Imambara,Chota Imambara
Dehradun,Amritsar,car,5531,379,Golden Temple,Jallianwala Bagh
Lucknow,Chandigarh,car,1379,284,Rock Garden,Sukhna Lake
Amritsar,Mumbai,flight,5341,183,Gateway of India,Marine Drive
Chandigarh,Ahmedabad,train,2581,844,Sabarmati Ashram,Adalaj Stepwell
Hyderabad,Lucknow,flight,6335,98,Bara Imambara,Chota Imambara
Surat,Bangalore,bus,1895,324,Bangalore Palace,Lalbagh Botanical Garden
Chandigarh,Indore,flight,4104,178,Rajwada Palace,Lal Bagh Palace
Chennai,Amritsar,bus,668,318,Golden Temple,Jallianwala Bagh
Chandigarh,Hyderabad,flight,6895,111,Charminar,Golkonda Fort
Ahmedabad,Jaipur,train,2118,708,Amber Fort,City Palace
Surat,Bangalore,flight,5378,172,Bangalore Palace,Lalbagh Botanical Garden
Ahmedabad,Delhi,flight,9504,145,Red Fort,Qutub Minar
Kolkata,Indore,flight,4589,128,Rajwada Palace,Lal Bagh Palace
Chennai,Delhi,bus,1712,542,Red Fort,Qutub Minar
Lucknow,Mumbai,flight,5791,176,Gateway of India,Marine Drive
Dehradun,Chandigarh,train,1531,790,Rock Garden,Sukhna Lake
Surat,Delhi,bus,1905,374,Red Fort,Qutub Minar
Pune,Delhi,flight,6768,92,Red Fort,Qutub Minar
Chennai,Indore,bus,1141,740,Rajwada Palace,Lal Bagh Palace
Hyderabad,Delhi,bus,763,614,Red Fort,Qutub Minar
Surat,Kolkata,flight,3741,64,Victoria Memorial,Howrah Bridge
Kolkata,Delhi,flight,5335,184,Red Fort,Qutub Minar
